iter	Passed	Remaining
0	1	1232
1	2	1325
2	3	1326
3	5	1348
4	7	1492
5	9	1534
6	10	1526
7	12	1504
8	13	1491
9	14	1480
10	16	1461
11	17	1461
12	19	1469
13	20	1472
14	22	1491
15	24	1514
16	26	1519
17	27	1513
18	29	1516
19	30	1516
20	32	1509
21	33	1496
22	35	1493
23	36	1502
24	39	1528
25	41	1546
26	42	1549
27	44	1544
28	45	1531
29	47	1519
30	48	1513
31	49	1508
32	51	1501
33	53	1506
34	54	1511
35	56	1513
36	58	1512
37	59	1504
38	60	1488
39	61	1483
40	63	1484
41	65	1483
42	66	1482
43	68	1486
44	70	1493
45	72	1495
46	73	1491
47	74	1487
48	76	1480
49	78	1483
50	79	1477
51	80	1470
52	82	1465
53	83	1466
54	86	1479
55	88	1484
56	89	1485
57	91	1482
58	92	1482
59	94	1477
60	95	1472
61	96	1465
62	98	1461
63	100	1468
64	102	1476
65	104	1479
66	106	1479
67	107	1477
68	109	1473
69	110	1469
70	112	1466
71	113	1463
72	115	1463
73	117	1471
74	119	1475
75	121	1476
76	122	1473
77	124	1469
78	125	1466
79	127	1463
80	128	1460
81	130	1460
82	132	1467
83	134	1468
84	136	1469
85	137	1465
86	139	1461
87	140	1458
88	142	1453
89	143	1451
90	145	1450
91	147	1456
92	149	1457
93	151	1459
94	152	1456
95	154	1453
96	155	1450
97	157	1446
98	158	1442
99	159	1438
100	161	1435
101	163	1440
102	165	1441
103	167	1443
104	169	1444
105	171	1442
106	172	1440
107	174	1437
108	175	1435
109	177	1433
110	179	1436
111	181	1437
112	182	1434
113	184	1432
114	185	1427
115	186	1423
116	188	1424
117	190	1423
118	192	1421
119	194	1423
120	196	1429
121	198	1430
122	200	1427
123	200	1419
124	202	1414
125	203	1411
126	204	1408
127	206	1406
128	207	1404
129	209	1405
130	211	1404
131	213	1405
132	215	1403
133	216	1400
134	217	1396
135	219	1391
136	220	1389
137	222	1388
138	224	1390
139	226	1392
140	228	1394
141	230	1391
142	231	1387
143	232	1384
144	234	1381
145	235	1378
146	237	1376
147	239	1376
148	241	1378
149	243	1378
150	245	1378
151	246	1374
152	247	1368
153	248	1364
154	249	1360
155	251	1358
156	252	1355
157	254	1354
158	256	1355
159	257	1353
160	259	1351
161	260	1348
162	261	1345
163	263	1342
164	264	1338
165	265	1335
166	267	1333
167	268	1332
168	270	1331
169	272	1331
170	274	1330
171	275	1327
172	277	1324
173	278	1322
174	279	1319
175	281	1317
